target,model,held_out_country,pr_auc_base,roc_auc_base,f1_base,recall_base,precision_base,balanced_accuracy_base,false_alarm_rate_base,missed_event_rate_base,pr_auc_local,roc_auc_local,f1_local,recall_local,precision_local,balanced_accuracy_local,false_alarm_rate_local,missed_event_rate_local,pr_auc_delta,roc_auc_delta,f1_delta,recall_delta,precision_delta,balanced_accuracy_delta,false_alarm_rate_delta,missed_event_rate_delta
extreme_abs_151_h1,xgboost,Japan,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,xgboost,Mexico,0.5926322972669542,0.8890100458625605,0.5963574756459128,0.5837479270315091,0.6095238095238096,0.7720550146670992,0.0396378976973105,0.4162520729684908,0.6296423695269641,0.9230134701776754,0.6086214255228339,0.5912106135986733,0.6270888302550571,0.776972858214348,0.0372648971699771,0.4087893864013267,0.03701007226000985,0.03400342431511494,0.012263949876921143,0.007462686567164201,0.01756502073124755,0.004917843547248779,-0.0023730005273333993,-0.00746268656716409
extreme_abs_151_h1,xgboost,Nigeria,0.8860236767727272,0.9212135888180676,0.8013629480060576,0.7896045759761253,0.8134768127081732,0.8367943198605726,0.11601593625498,0.2103954240238746,0.8941150990082146,0.9267399538875092,0.8084354085111757,0.7960706291967172,0.8211903540277066,0.8424974659927809,0.1110756972111553,0.2039293708032827,0.008091422235487422,0.005526365069441597,0.007072460505118117,0.006466053220591905,0.00771354131953339,0.005703146132208237,-0.004940239043824693,-0.006466053220591905
extreme_abs_151_h1,xgboost,Pakistan,0.9741075934702252,0.8961048982387687,0.865247397356416,0.7980364656381487,0.9448205390215864,0.7925093570794294,0.2130177514792899,0.2019635343618513,0.976860154858156,0.9060630140169464,0.893740077114992,0.8502535332829863,0.9419146647543922,0.8053042814343925,0.2396449704142011,0.1497464667170137,0.0027525613879307853,0.009958115778177734,0.028492679758576056,0.05221706764483758,-0.0029058742671941307,0.0127949243549631,0.026627218934911212,-0.052217067644837606
extreme_abs_151_h1,xgboost,Philippines,0.0508581025820805,0.8995179667570987,0.0310880829015544,0.0211267605633802,0.0588235294117647,0.5093731402499504,0.0023804800634794,0.9788732394366196,0.0664000025992027,0.9104752997253508,0.0134228187919463,0.0070422535211267,0.1428571428571428,0.5033723467565959,0.0002975600079349,0.9929577464788732,0.015541900017122204,0.010957332968252076,-0.0176652641096081,-0.014084507042253502,0.0840336134453781,-0.006000793493354473,-0.0020829200555445,0.014084507042253613
extreme_abs_151_h1,xgboost,Russia,0.790890852305308,0.955695366528849,0.7169642857142857,0.652315190901706,0.7958374628344896,0.8166037507240187,0.0191076894536684,0.3476848090982941,0.8298457867627407,0.962801619209894,0.7592425608656447,0.6839967506092608,0.8530901722391084,0.8352735816862277,0.0134495872368054,0.3160032493907392,0.0389549344574327,0.007106252681045033,0.04227827515135896,0.03168155970755482,0.057252709404618796,0.018669830962208978,-0.005658102216862998,-0.031681559707554874
extreme_abs_151_h1,xgboost,Saudi Arabia,0.0247883192109361,0.6252481376560697,0.0,0.0,0.0,0.498961284230406,0.0020774315391879,1.0,0.0268027853762846,0.6670590704018466,0.0,0.0,0.0,0.4999055712936733,0.0001888574126534,1.0,0.0020144661653484983,0.04181093274577696,0.0,0.0,0.0,0.0009442870632673239,-0.0018885741265345,0.0
extreme_abs_151_h1,xgboost,South Africa,0.0968581608067342,0.9309243294430164,0.0,0.0,0.0,0.5,0.0,1.0,0.1203574469173285,0.9383201333120166,0.0,0.0,0.0,0.5,0.0,1.0,0.023499286110594292,0.007395803869000184,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,xgboost,South Korea,0.0607239127022417,0.8164896048226705,0.0,0.0,0.0,0.4999598522563032,8.029548739360848e-05,1.0,0.0931839314313362,0.8965343232325728,0.0,0.0,0.0,0.5,0.0,1.0,0.0324600187290945,0.08004471840990224,0.0,0.0,0.0,4.014774369681673e-05,-8.029548739360848e-05,0.0
extreme_abs_151_h1,xgboost,Thailand,0.0423447333827065,0.9262348786295284,0.0,0.0,0.0,0.499541564792176,0.0009168704156479,1.0,0.0590434933433061,0.9517574348402768,0.0,0.0,0.0,0.4998471882640586,0.0003056234718826,1.0,0.0166987599605996,0.025522556210748393,0.0,0.0,0.0,0.0003056234718826212,-0.0006112469437653,0.0
