target,model,regime,threshold,precision,recall
extreme_abs_151_h3,xgboost,local_features,0.91,0.9424915080180108,0.27931639939131453
extreme_abs_151_h3,xgboost,local_features,0.92,0.9496213088247809,0.2612431230246986
extreme_abs_151_h3,xgboost,local_features,0.93,0.95656593660475,0.24232705138710056
extreme_abs_151_h3,xgboost,local_features,0.94,0.9639852247075723,0.21994615474657614
extreme_abs_151_h3,xgboost,local_features,0.95,0.9712562100780695,0.19222755472316516
extreme_abs_151_h3,xgboost,local_features,0.96,0.9804319466589361,0.15835186702563503
extreme_abs_151_h3,xgboost,local_features,0.97,0.985837922895358,0.11733583050450662
extreme_abs_151_h3,xgboost,local_features,0.98,0.9888634130363577,0.0706777478637481
extreme_abs_151_h3,xgboost,local_features,0.99,0.9953051643192489,0.02481563853447267
extreme_abs_151_h3,xgboost,local_features,1.0,0.0,0.0
