split_name,target,held_out_country,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc,feature_set,n_features
leave_one_country_out,extreme_abs_151_h1,Thailand,xgboost,boosting,test,9867,51,0.005168744299179,0.993919124353907,0.499541564792176,0.0,0.0,0.0,0.4984751448612382,9807,9,51,0,0.0009168704156479,1.0,0.9262348786295284,0.0423447333827065,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Turkey,xgboost,boosting,test,10582,611,0.0577395577395577,0.9408429408429408,0.5269024852924545,0.4137931034482758,0.0589198036006546,0.1031518624641833,0.5362822734582228,9920,51,575,36,0.0051148330157456,0.9410801963993454,0.8292526231143968,0.239874394770868,base_all_features,
leave_one_country_out,extreme_abs_151_h1,United Kingdom,xgboost,boosting,test,10439,1,9.579461634256155e-05,0.9999042053836574,0.5,0.0,0.0,0.0,0.4999760501987833,10438,0,1,0,0.0,1.0,0.7920099635945583,0.0004604051565377,base_all_features,
leave_one_country_out,extreme_abs_151_h1,United States,xgboost,boosting,test,27885,35,0.0012551551013089,0.9987448448986912,0.5,0.0,0.0,0.0,0.4996860141742172,27850,0,35,0,0.0,1.0,0.9598789433187996,0.0318017454256293,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Vietnam,xgboost,boosting,test,10868,838,0.0771071034228929,0.9228928965771072,0.5688978410829564,0.5,0.1503579952267303,0.2311926605504587,0.5953018422388059,9904,126,712,126,0.0125623130608175,0.8496420047732697,0.8285185017739146,0.3519898955785218,base_all_features,
,extreme_abs_151_h1,Australia,xgboost,boosting,test,10439,1,9.579461634256155e-05,0.9999042053836574,0.5,0.0,0.0,0.0,0.4999760501987833,10438,0,1,0,0.0,1.0,0.6907453535159992,0.0003096934035305,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Bangladesh,xgboost,boosting,test,10868,7466,0.686970923813029,0.8424733161575266,0.8231852711716985,0.8936781609195402,0.8747656040717922,0.8841207526736158,0.8191072019616283,2625,777,935,6531,0.228395061728395,0.1252343959282078,0.9220734230333302,0.9626909994191571,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Brazil,xgboost,boosting,test,12441,1135,0.0912306084719877,0.9019371433164536,0.5342861495708878,0.3465703971119133,0.0845814977973568,0.1359773371104816,0.5419980422237538,11125,181,1039,96,0.0160091986555811,0.9154185022026432,0.8925172085150687,0.3706115152420787,all_plus_local_normalization,91.0
,extreme_abs_151_h1,China,xgboost,boosting,test,21879,2273,0.1038895744778097,0.8306138306138307,0.8809847439341656,0.3748908678191025,0.9445666520017598,0.53675,0.7165544283796632,16026,3580,126,2147,0.1825971641334285,0.0554333479982402,0.9494423445887504,0.6773791153435851,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Egypt,xgboost,boosting,test,15158,5032,0.3319699168755772,0.658266262039847,0.5885156840973841,0.481416373681567,0.3809618441971383,0.4253383625471489,0.591084353557867,8061,2065,3115,1917,0.2039304760023701,0.6190381558028617,0.6647096347547138,0.4448778760417857,all_plus_local_normalization,91.0
