target,model,regime,threshold,rows,events,predicted_alerts,tp,fp,fn,tn,precision,recall,f1,false_alarm_rate,false_alerts_per_100_city_months,alerts_per_100_city_months,missed_events_per_100_events
extreme_abs_151_h3,xgboost,country_class_balanced,0.2,325005,42715,87303,39446,47857,3269,234433,0.4518286885903119,0.9234695071988763,0.6067775231121845,0.16953133302632045,14.725004230704142,26.862048276180367,7.653049280112373
extreme_abs_151_h3,xgboost,country_class_balanced,0.21,325005,42715,85501,39242,46259,3473,236031,0.4589653922176349,0.9186936673299778,0.6121232919448432,0.16387048779623792,14.233319487392501,26.307595267765112,8.130633267002224
extreme_abs_151_h3,xgboost,country_class_balanced,0.22,325005,42715,83773,39022,44751,3693,237539,0.4658064054050828,0.9135432517850872,0.6170071469230283,0.15852846363668568,13.769326625744219,25.77591113982862,8.64567482149128
extreme_abs_151_h3,xgboost,country_class_balanced,0.23,325005,42715,82081,38821,43260,3894,239030,0.47295963743131786,0.9088376448554372,0.6221513510048399,0.15324666123490027,13.310564452854571,25.255303764557468,9.11623551445628
extreme_abs_151_h3,xgboost,country_class_balanced,0.24,325005,42715,80486,38623,41863,4092,240427,0.47987227592376314,0.9042022708650357,0.6269916640287011,0.1482978497290021,12.880724911924432,24.76454208396794,9.57977291349643
extreme_abs_151_h3,xgboost,country_class_balanced,0.25,325005,42715,78985,38402,40583,4313,241707,0.4861935810596949,0.8990284443403956,0.6310928512736236,0.14376350561479329,12.486884817156659,24.302703035337917,10.097155565960435
extreme_abs_151_h3,xgboost,country_class_balanced,0.26,325005,42715,77495,38186,39309,4529,242981,0.49275437124975807,0.8939716727145031,0.6353215206721571,0.13925041623861986,12.09489084783311,23.844248550022307,10.60283272854969
extreme_abs_151_h3,xgboost,country_class_balanced,0.27,325005,42715,76094,37959,38135,4756,244155,0.4988435356269877,0.888657380311366,0.6389919955558921,0.135091572496369,11.733665635913294,23.41317825879602,11.134261968863397
extreme_abs_151_h3,xgboost,country_class_balanced,0.28,325005,42715,74736,37748,36988,4967,245302,0.5050845643331192,0.883717663584221,0.6427872048769274,0.1310283750752772,11.380747988492486,22.995338533253335,11.6282336415779
extreme_abs_151_h3,xgboost,country_class_balanced,0.29,325005,42715,73348,37509,35839,5206,246451,0.5113840868189998,0.8781224394240899,0.6463558584561833,0.12695809274150696,11.027214965923601,22.568268180489532,12.18775605759101
extreme_abs_151_h3,xgboost,country_class_balanced,0.3,325005,42715,72081,37289,34792,5426,247498,0.517320791886905,0.8729720238791994,0.649656782466288,0.12324914095433774,10.705066075906524,22.178428024184242,12.702797612080065
extreme_abs_151_h3,xgboost,country_class_balanced,0.31,325005,42715,70805,37041,33764,5674,248526,0.523141021114328,0.8671661009013227,0.6525898520084565,0.1196074958376138,10.388763249796156,21.78581867971262,13.283389909867727
extreme_abs_151_h3,xgboost,country_class_balanced,0.32,325005,42715,69546,36774,32772,5941,249518,0.5287723233543267,0.8609153693082056,0.655151833673315,0.11609337914910199,10.083537176351133,21.39844002399963,13.908463069179446
extreme_abs_151_h3,xgboost,country_class_balanced,0.33,325005,42715,68326,36521,31805,6194,250485,0.5345110206949039,0.8549923914315815,0.6577930674255456,0.11266782386907082,9.786003292257043,21.0230611836741,14.50076085684186
extreme_abs_151_h3,xgboost,country_class_balanced,0.34,325005,42715,67115,36261,30854,6454,251436,0.5402816061983163,0.8489055366967108,0.6603113903305108,0.10929894789046725,9.493392409347548,20.6504515315149,15.109446330328923
extreme_abs_151_h3,xgboost,country_class_balanced,0.35,325005,42715,65925,35992,29933,6723,252357,0.5459537353052711,0.8426079831440946,0.6625920471281296,0.10603634560204045,9.210012153659175,20.284303318410487,15.739201685590542
