target,model,regime,threshold,rows,events,predicted_alerts,tp,fp,fn,tn,precision,recall,f1,false_alarm_rate,false_alerts_per_100_city_months,alerts_per_100_city_months,missed_events_per_100_events
extreme_abs_151_h3,xgboost,local_features,0.11,325005,42715,68883,36427,32456,6288,249834,0.5288242382010075,0.8527917593351282,0.6528253194501694,0.11497396294590669,9.986307902955339,21.194443162412885,14.720824066487182
extreme_abs_151_h3,xgboost,local_features,0.12,325005,42715,66831,35976,30855,6739,251435,0.5383130583112627,0.8422334074681025,0.6568199660416629,0.10930249034680647,9.493700096921586,20.5630682604883,15.776659253189745
extreme_abs_151_h3,xgboost,local_features,0.13,325005,42715,64979,35555,29424,7160,252866,0.5471767801905231,0.832377384993562,0.6602967667650936,0.10423323532537461,9.053399178474177,19.99323087337118,16.762261500643802
extreme_abs_151_h3,xgboost,local_features,0.14,325005,42715,63330,35166,28164,7549,254126,0.5552818569398389,0.8232705138710055,0.6632278749587439,0.09976974033795033,8.66571283518715,19.485854063783634,17.67294861289945
extreme_abs_151_h3,xgboost,local_features,0.15,325005,42715,61822,34826,26996,7889,255294,0.5633269709812041,0.8153107807561747,0.6662904043544391,0.09563215133373482,8.306333748711559,19.02186120213535,18.468921924382535
extreme_abs_151_h3,xgboost,local_features,0.16,325005,42715,60501,34492,26009,8223,256281,0.570106279235054,0.8074915135198408,0.6683459928693226,0.09213574692691913,8.002646113136722,18.61540591683205,19.250848648015918
extreme_abs_151_h3,xgboost,local_features,0.17,325005,42715,59204,34156,25048,8559,257242,0.5769204783460578,0.799625424324008,0.6702577537063746,0.08873144638492331,7.706958354486854,18.21633513330564,20.037457567599205
extreme_abs_151_h3,xgboost,local_features,0.18,325005,42715,58033,33861,24172,8854,258118,0.5834783657574139,0.7927191852979047,0.67219200381149,0.08562825463176166,7.43742403963016,17.856032984107937,20.728081470209528
extreme_abs_151_h3,xgboost,local_features,0.19,325005,42715,56916,33560,23356,9155,258934,0.5896408742708553,0.7856724803933045,0.6736859009745962,0.08273761025895356,7.186350979215704,17.51234596390825,21.432751960669552
extreme_abs_151_h3,xgboost,local_features,0.2,325005,42715,55895,33279,22616,9436,259674,0.595384202522587,0.7790939950836943,0.6749619714024946,0.0801161925679266,6.958662174428086,17.19819695081614,22.090600491630575
extreme_abs_151_h3,xgboost,local_features,0.21,325005,42715,54888,33007,21881,9708,260409,0.6013518437545547,0.7727262085918296,0.6763521613065172,0.07751248715859577,6.732511807510654,16.88835556376056,22.727379140817042
extreme_abs_151_h3,xgboost,local_features,0.22,325005,42715,53939,32719,21220,9996,261070,0.6065926324181019,0.7659838464239729,0.6770335423262358,0.07517092351836764,6.5291303210719835,16.59636005599914,23.401615357602715
extreme_abs_151_h3,xgboost,local_features,0.23,325005,42715,53051,32481,20570,10234,261720,0.6122599008501254,0.7604120332435912,0.6783409560804461,0.07286832689787098,6.329133397947724,16.323133490253998,23.958796675640876
extreme_abs_151_h3,xgboost,local_features,0.24,325005,42715,52197,32241,19956,10474,262334,0.6176791769641934,0.7547933981037106,0.6793872218476061,0.07069325870558646,6.1402132274888075,16.060368302026124,24.520660189628934
extreme_abs_151_h3,xgboost,local_features,0.25,325005,42715,51400,32011,19389,10704,262901,0.6227821011673151,0.7494088727613251,0.6802528821123094,0.06868468596124552,5.965754373009646,15.815141305518377,25.059112723867493
extreme_abs_151_h3,xgboost,local_features,0.26,325005,42715,50561,31765,18796,10950,263494,0.6282510235161488,0.7436497717429474,0.6810969595608731,0.06658400935208474,5.7832956416055135,15.556991430901062,25.635022825705256
extreme_abs_151_h3,xgboost,local_features,0.27,325005,42715,49788,31524,18264,11191,264026,0.6331646179802362,0.7380077256233173,0.6815778947709804,0.06469942257961671,5.619605852217658,15.319148936170214,26.199227437668267
extreme_abs_151_h3,xgboost,local_features,0.28,325005,42715,49049,31288,17761,11427,264529,0.6378927195253726,0.7324827344024347,0.6819231942809816,0.06291756704098622,5.464839002476885,15.091767818956631,26.751726559756527
extreme_abs_151_h3,xgboost,local_features,0.29,325005,42715,48339,31045,17294,11670,264996,0.6422350483046815,0.7267938663233057,0.6819030465438091,0.061263239930567856,5.321148905401455,14.873309641390133,27.320613367669438
