split_name,target,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc,held_out_country,random_pr_auc,random_f1,random_recall,random_precision,drop_random_to_loco_pr_auc,relative_drop_random_to_loco_pr_auc,drop_random_to_loco_f1,relative_drop_random_to_loco_f1,drop_random_to_loco_recall,relative_drop_random_to_loco_recall,drop_random_to_loco_precision,relative_drop_random_to_loco_precision
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,10153,828,0.081552250566335,0.8839751797498276,0.8344908108948207,0.3929008567931457,0.7753623188405797,0.5215272136474411,0.7277553127192598,8333,992,186,642,0.1063806970509383,0.2246376811594203,0.9155032314048516,0.499164753178859,Ethiopia,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.3185452399589813,0.3895577192796818,0.18196399729005885,0.25865852260978,0.10907598686844422,0.1233279768236652,0.19110806092067678,0.327234833448766
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,12584,1206,0.0958359821996185,0.8699936427209154,0.8573128673151498,0.4126016260162601,0.8416252072968491,0.5537370430987453,0.7388255488026514,9933,1445,191,1015,0.1269994726665494,0.1583747927031509,0.9145453082626942,0.5665108971029713,Mexico,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.251199096034869,0.30719827095536634,0.14975416783875473,0.21287283410291147,0.042813098412174844,0.04840710554463496,0.17140729169756236,0.29350115468879845
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,21879,2273,0.1038895744778097,0.7688651218062983,0.8554766807560773,0.3058577405857741,0.9648042234931808,0.4644710367467966,0.6585505409582737,14629,4977,80,2193,0.2538508619810262,0.0351957765068191,0.9388189748965308,0.6255222740303814,China,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.1921877191074589,0.2350316380138234,0.23902017419070343,0.3397628434791328,-0.08036591778415692,-0.09086661812971829,0.2781511771280484,0.4762789893978104
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,12012,1231,0.1024808524808524,0.9230769230769232,0.9035372350385352,0.5826602046311254,0.8789601949634444,0.7007772020725389,0.8283213484569802,10006,775,149,1082,0.0718857248863741,0.1210398050365556,0.9435657595111776,0.8126729770572879,Russia,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.005037016080552403,0.006159905251033566,0.0027140088649610927,0.0038579143886450238,0.0054781107455795786,0.006193886798229487,0.0013487130826970173,0.002309404945350367
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,20449,7406,0.3621692992322363,0.8110910068952027,0.8406209832248714,0.6687946641257742,0.9477450715635972,0.7842019998882744,0.8081117839594436,9567,3476,387,7019,0.2665031051138541,0.0522549284364029,0.9286201467138682,0.869630201806686,India,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,-0.051920208668845724,-0.06349464859737088,-0.08071078895077444,-0.11472892297149821,-0.06330676585457329,-0.07157849840506672,-0.08478574641195169,-0.14517885573366984
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,10296,4021,0.3905400155400155,0.7998251748251748,0.822511119411932,0.6785714285714286,0.9261377766724695,0.7832579661373436,0.7986487430614535,4511,1764,297,3724,0.2811155378486056,0.0738622233275304,0.9197276053706092,0.8818606549031621,Nigeria,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,-0.0641506617653218,-0.07845160546363533,-0.07976675519984355,-0.1133869961126355,-0.04169947096344562,-0.047147970292870316,-0.09456251085760614,-0.1619196351106815
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,10868,7466,0.686970923813029,0.8071402281928598,0.7095463770464515,0.7943433457575093,0.97053308331101,0.8736435977815288,0.7332475953165608,1526,1876,220,7246,0.551440329218107,0.02946691668899,0.9041477547519754,0.9545593658212038,Bangladesh,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,-0.1368493726833635,-0.16735685491408075,-0.17015238684402878,-0.24186853253969873,-0.08609477760198603,-0.09734401715331267,-0.21033442804368685,-0.360156192249714
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,11297,9269,0.8204833141542003,0.881207400194742,0.6779919832029013,0.8767943720886016,0.9950372208436724,0.9321811198706288,0.7269601251527056,732,1296,46,9223,0.6390532544378699,0.0049627791563275,0.910178634088773,0.9777287589646898,Pakistan,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,-0.16001876582684949,-0.1956913418812473,-0.2286899089331288,-0.3250785587333318,-0.11059891513464848,-0.12504989259367855,-0.2927854543747791,-0.5013373006715808
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,11583,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11583,0,0,0,0.0,0.0,,,France,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,,,0.7034912109375,1.0,0.8844383057090239,1.0,0.5840089177138225,1.0
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,10439,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10439,0,0,0,0.0,0.0,,,Germany,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,,,0.7034912109375,1.0,0.8844383057090239,1.0,0.5840089177138225,1.0
