target,model,held_out_country,pr_auc_local,roc_auc_local,f1_local,recall_local,precision_local,balanced_accuracy_local,false_alarm_rate_local,missed_event_rate_local,pr_auc_weighted,roc_auc_weighted,f1_weighted,recall_weighted,precision_weighted,balanced_accuracy_weighted,false_alarm_rate_weighted,missed_event_rate_weighted,feature_regime,weighting_strategy,pr_auc_delta,roc_auc_delta,f1_delta,recall_delta,precision_delta,balanced_accuracy_delta,false_alarm_rate_delta,missed_event_rate_delta
extreme_abs_151_h1,xgboost,Japan,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,country_class_balanced,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,xgboost,Mexico,0.6296423695269641,0.9230134701776754,0.6086214255228339,0.5912106135986733,0.6270888302550571,0.776972858214348,0.0372648971699771,0.4087893864013267,0.6077384806591251,0.921266076892738,0.6311270125223614,0.7313432835820896,0.5550660792951542,0.8346029126646606,0.0621374582527685,0.2686567164179104,local,country_class_balanced,-0.021903888867839005,-0.0017473932849374485,0.022505586999527427,0.14013266998341622,-0.07202275095990296,0.05763005445031255,0.0248725610827914,-0.14013266998341634
extreme_abs_151_h1,xgboost,Nigeria,0.8941150990082146,0.9267399538875092,0.8084354085111757,0.7960706291967172,0.8211903540277066,0.8424974659927809,0.1110756972111553,0.2039293708032827,0.8994322456737226,0.93090688229425,0.8130585898709036,0.8144740114399404,0.8116480793060719,0.8466792367956674,0.1211155378486055,0.1855259885600597,local,country_class_balanced,0.005317146665507977,0.004166928406740822,0.004623181359727946,0.018403382243223132,-0.009542274721634714,0.004181770802886509,0.010039840637450198,-0.018403382243222993
extreme_abs_151_h1,xgboost,Pakistan,0.976860154858156,0.9060630140169464,0.893740077114992,0.8502535332829863,0.9419146647543922,0.8053042814343925,0.2396449704142011,0.1497464667170137,0.9776854477031216,0.908783450933878,0.9293774834437086,0.9462725213075844,0.9130751613574848,0.7672684105551728,0.4117357001972386,0.0537274786924155,local,country_class_balanced,0.000825292844965575,0.002720436916931579,0.03563740632871659,0.09601898802459818,-0.02883950339690744,-0.03803587087921967,0.1720907297830375,-0.09601898802459818
extreme_abs_151_h1,xgboost,Philippines,0.0664000025992027,0.9104752997253508,0.0134228187919463,0.0070422535211267,0.1428571428571428,0.5033723467565959,0.0002975600079349,0.9929577464788732,0.0669663924554214,0.9102846098611108,0.1247803163444639,0.5,0.071285140562249,0.7270630827216822,0.0458738345566355,0.5,local,country_class_balanced,0.0005663898562186936,-0.00019068986423997902,0.1113574975525176,0.4929577464788733,-0.0715720022948938,0.22369073596508626,0.0455762745487006,-0.49295774647887325
extreme_abs_151_h1,xgboost,Russia,0.8298457867627407,0.962801619209894,0.7592425608656447,0.6839967506092608,0.8530901722391084,0.8352735816862277,0.0134495872368054,0.3160032493907392,0.7574846777404318,0.9530455352486634,0.6755674232309746,0.8220958570268074,0.5733711048158641,0.8761253795847329,0.0698450978573416,0.1779041429731925,local,country_class_balanced,-0.07236110902230886,-0.009756083961230622,-0.08367513763467005,0.13809910641754664,-0.27971906742324437,0.04085179789850524,0.056395510620536195,-0.13809910641754672
extreme_abs_151_h1,xgboost,Saudi Arabia,0.0268027853762846,0.6670590704018466,0.0,0.0,0.0,0.4999055712936733,0.0001888574126534,1.0,0.0288409600714492,0.6855258279998601,0.057347670250896,0.1185185185185185,0.0378250591016548,0.5400430175217711,0.0384324834749763,0.8814814814814815,local,country_class_balanced,0.0020381746951645997,0.018466757598013417,0.057347670250896,0.1185185185185185,0.0378250591016548,0.040137446228097784,0.0382436260623229,-0.11851851851851847
extreme_abs_151_h1,xgboost,South Africa,0.1203574469173285,0.9383201333120166,0.0,0.0,0.0,0.5,0.0,1.0,0.1578912412589283,0.9528288834503708,0.0,0.0,0.0,0.5,0.0,1.0,local,country_class_balanced,0.03753379434159981,0.014508750138354176,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,xgboost,South Korea,0.0931839314313362,0.8965343232325728,0.0,0.0,0.0,0.5,0.0,1.0,0.07386306715989,0.8816950995046385,0.1318681318681318,0.1384615384615384,0.1258741258741259,0.5642123012686687,0.010036935924201,0.8615384615384616,local,country_class_balanced,-0.019320864271446206,-0.014839223727934225,0.1318681318681318,0.1384615384615384,0.1258741258741259,0.06421230126866873,0.010036935924201,-0.1384615384615384
extreme_abs_151_h1,xgboost,Thailand,0.0590434933433061,0.9517574348402768,0.0,0.0,0.0,0.4998471882640586,0.0003056234718826,1.0,0.0698676007298723,0.9471171516691436,0.0813953488372093,0.5490196078431373,0.0439560439560439,0.7434890215254806,0.062041564792176,0.4509803921568627,local,country_class_balanced,0.010824107386566202,-0.004640283171133186,0.0813953488372093,0.5490196078431373,0.0439560439560439,0.24364183326142197,0.0617359413202934,-0.5490196078431373
extreme_abs_151_h1,xgboost,Turkey,0.2925069958904552,0.867696844580872,0.1117647058823529,0.0621931260229132,0.5507246376811594,0.5295420549380437,0.0031090161468257,0.9378068739770868,0.2653168231374994,0.850235076156205,0.3110181311018131,0.3649754500818331,0.2709599027946537,0.6524004720071186,0.060174506067596,0.6350245499181669,local,country_class_balanced,-0.02719017275295582,-0.017461768424667068,0.19925342521946018,0.30278232405891986,-0.2797647348865057,0.12285841706907485,0.057065489920770304,-0.3027823240589199
extreme_abs_151_h1,xgboost,United Kingdom,0.0008613264427217,0.8888675991569267,0.0,0.0,0.0,0.5,0.0,1.0,0.0013227513227513,0.927668135658172,0.0,0.0,0.0,0.5,0.0,1.0,local,country_class_balanced,0.00046142488002959986,0.038800536501245264,0.0,0.0,0.0,0.0,0.0,0.0
