Country,observations,events,event_prevalence,city_count,aqi_mean,aqi_std,aqi_p90,aqi_p95,aqi_mean_abs_smd_vs_global,aqi_seasonal_amplitude,profile_shift_smd_mean,profile_shift_smd_max,target
Vietnam,10868,838.0,0.0771071034228929,76,82.03910563121089,35.508594086358286,139.0,154.0,0.06071521674835534,41.52850877192983,0.4902260458327865,2.2217209335420196,extreme_abs_151_h1
Australia,10293,1.0,9.71534052268532e-05,73,34.994267949091615,15.868014518089765,48.0,65.0,0.8376728587650708,8.228829389788288,0.6480414551650038,1.0460226584712988,extreme_abs_151_h3
Bangladesh,10716,7331.0,0.6841172079134005,76,183.30076521089958,90.10428739507289,312.0,390.0,1.615388716241787,146.13157894736844,1.0947021131161194,1.7772869334954267,extreme_abs_151_h3
Brazil,12267,1135.0,0.0925246596559876,87,77.20322817314747,46.314338648716465,138.0,170.0,0.13951613361606222,66.98563218390805,0.2848230416313741,0.7643108879604,extreme_abs_151_h3
China,21573,2215.0,0.10267463959579104,153,83.06980948407733,50.96392964019108,153.0,189.0,0.04248002625597419,75.72355912061795,0.31359129489202003,0.5500782367197413,extreme_abs_151_h3
Egypt,14946,4966.0,0.33226281279272046,106,120.64084035862439,37.543513757981636,163.0,170.0,0.5789630923759016,31.04524013722127,0.7387122658478529,1.3747522431210322,extreme_abs_151_h3
Ethiopia,10011,797.0,0.07961242633103587,71,82.65178303865747,37.028074932867426,139.0,157.0,0.04939438691804224,50.56455399061033,0.30631700870566536,0.9061556162367612,extreme_abs_151_h3
France,11421,0.0,0.0,81,59.036774363015496,24.39782754742592,92.0,95.0,0.43999811261596455,14.218761690983918,0.4032079453426845,0.6953154170844348,extreme_abs_151_h3
Germany,10293,0.0,0.0,71,49.739240260371126,18.250050234076898,70.0,78.0,0.593783847365336,2.2814445828144443,0.37633344595393264,0.593783847365336,extreme_abs_151_h3
India,20163,7276.0,0.3608589991568715,142,139.15067202301245,111.96336797008834,321.0,345.0,0.8851247080440273,140.62126509853783,0.4853058030353315,0.8851247080440273,extreme_abs_151_h3
Indonesia,13254,1568.0,0.11830390825411197,94,90.70733363512902,53.38541086900093,159.0,187.0,0.08384833675605223,66.92859445519021,0.3168592421652556,1.1500520546928688,extreme_abs_151_h3
