target,model,model_family,feature_set,n_features,held_out_country,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Russia,test,12012,1231,0.1024808524808524,0.9487179487179488,0.9023503981603764,0.7101845522898155,0.8440292445166532,0.771343726800297,0.8712321071882403,10357,424,192,1039,0.0393284481959001,0.1559707554833468,0.9658823014372776,0.8251749227661984
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Saudi Arabia,validation,47834,6496,0.1358029853242463,0.9212693899736588,0.911241918122068,0.6528555431131019,0.8974753694581281,0.7558667185271619,0.8544668454678132,38238,3100,666,5830,0.0749915332139919,0.1025246305418719,0.975959762850746,0.879590981357546
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Saudi Arabia,test,10725,135,0.0125874125874125,0.9806993006993008,0.5112265239743993,0.05,0.0296296296296296,0.0372093023255813,0.513730622436631,10514,76,131,4,0.0071765816808309,0.9703703703703704,0.6642576854474872,0.030295679677972
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,South Africa,validation,47834,6507,0.1360329472759961,0.9214993519254088,0.9115164227728658,0.6540528437080161,0.8978023666820347,0.7567847658527107,0.8549906204713826,38237,3090,665,5842,0.0747695211363031,0.1021976333179652,0.9752776780156928,0.8786058638545309
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,South Africa,test,10725,61,0.0056876456876456,0.9943123543123544,0.5,0.0,0.0,0.0,0.4985740333816447,10664,0,61,0,0.0,1.0,0.9367428947400784,0.1177715995285949
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,South Korea,validation,47555,6497,0.1366207549153611,0.9207233729365998,0.910556705567177,0.6528073517875154,0.8965676466061259,0.7555123216601816,0.8541020009605964,37960,3098,672,5825,0.0754542354717716,0.103432353393874,0.9748650053101768,0.877131518019189
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,South Korea,test,12584,130,0.0103305785123966,0.9878417037507946,0.544748675124458,0.2553191489361702,0.0923076923076923,0.135593220338983,0.5647355081727727,12419,35,118,12,0.0028103420587762,0.9076923076923076,0.9118565552000594,0.1201213946132247
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Thailand,validation,47963,6508,0.1356879261097095,0.92123094885641,0.9119452028350734,0.6521060842433697,0.89920098340504,0.7559746802738664,0.8545051662022706,38333,3122,656,5852,0.0753105777348932,0.10079901659496,0.9753153573935556,0.8790635977165219
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Thailand,test,9867,51,0.005168744299179,0.9817573730617208,0.5714529699410327,0.0551724137931034,0.1568627450980392,0.0816326530612244,0.5362099185052258,9679,137,43,8,0.0139568052159739,0.8431372549019608,0.9540566022660082,0.0593299385316275
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Turkey,validation,47855,6424,0.1342388465155156,0.9240204785288894,0.9162663038334108,0.6575497287522604,0.9056662515566624,0.7619172341540074,0.8583573589651661,38401,3030,606,5818,0.0731336438898409,0.0943337484433374,0.9773272523540092,0.8843114988749367
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Turkey,test,10582,611,0.0577395577395577,0.92014742014742,0.6326847858790492,0.3081967213114754,0.3076923076923077,0.3079443079443079,0.6327867756439185,9549,422,423,188,0.0423227359342092,0.6923076923076923,0.851135559899486,0.2715487944841444
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,United Kingdom,validation,47877,6516,0.1360987530547026,0.9220711406312008,0.912101797571515,0.6560573798049983,0.8984039287906691,0.7583392706781528,0.8559423428034354,38292,3069,662,5854,0.074200333647639,0.1015960712093308,0.9757871739716076,0.8798751418148282
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,United Kingdom,test,10439,1,9.579461634256155e-05,0.9999042053836574,0.5,0.0,0.0,0.0,0.4999760501987833,10438,0,1,0,0.0,1.0,0.6255029699176087,0.0002557544757033
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,United States,validation,45260,6511,0.1438577110030932,0.9202165267344232,0.9093214523985772,0.6658659345687485,0.8940254953156197,0.7632596866190258,0.857641907029337,35828,2921,690,5821,0.0753825905184649,0.1059745046843802,0.9734681665320022,0.8770605930313495
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,United States,test,27885,35,0.0012551551013089,0.9986013986013986,0.514195947678892,0.1666666666666666,0.0285714285714285,0.048780487804878,0.5240403363139303,27845,5,34,1,0.0001795332136445,0.9714285714285714,0.8355044883303411,0.0449036064609399
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Vietnam,validation,47813,6390,0.1336456612218434,0.9227825068496016,0.9148029091970218,0.6523605150214592,0.9039123630672926,0.7578063500393597,0.8559378345205632,38345,3078,614,5776,0.0743065446732491,0.0960876369327073,0.9767930481871128,0.8833130036834582
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Vietnam,test,10868,838,0.0771071034228929,0.9063305115936696,0.7042821416419001,0.40625,0.4653937947494033,0.4338153503893214,0.6913785348596221,9460,570,448,390,0.0568295114656031,0.5346062052505967,0.8274709879906819,0.4032933651362374
