target,split_name,feature_set,n_features,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,random_split,all_features,64,random_forest,ensemble,validation,48751,6407,0.1314229451703555,0.9284732620869316,0.9079594697945588,0.674682938502034,0.8801311066021539,0.7638333897731121,0.8608438979516901,39625,2719,768,5639,0.064212167013036,0.1198688933978461,0.974142021713628,0.8680511559354075
extreme_abs_151_h3,random_split,all_features,64,random_forest,ensemble,test,48751,6407,0.1314229451703555,0.9246374433344956,0.9066123754952156,0.6594329716485824,0.8821601373497737,0.7547069034584056,0.8550932607544561,39425,2919,755,5652,0.0689353863593425,0.1178398626502263,0.9732693724754514,0.8681046819586851
extreme_abs_151_h3,random_split,aqi_history,22,logistic_regression,linear,train,227503,29901,0.131431233873839,0.8794873034641302,0.8543889104175999,0.5266672392321896,0.8203404568409083,0.6414906832298136,0.7845303420508024,175557,22045,5372,24529,0.1115626360057084,0.1796595431590916,0.9165748448441138,0.7062614510782989
extreme_abs_151_h3,random_split,aqi_history,22,logistic_regression,linear,validation,48751,6407,0.1314229451703555,0.8780948083116243,0.8557116128917541,0.5229430379746836,0.8253472764164196,0.6402324595919849,0.7834233436346993,37520,4824,1119,5288,0.1139240506329113,0.1746527235835804,0.9206697621605832,0.7046791796848075
extreme_abs_151_h3,random_split,aqi_history,22,logistic_regression,linear,test,48751,6407,0.1314229451703555,0.8786281307050112,0.8532368951267788,0.524495100979804,0.8187919463087249,0.6394052044609665,0.7832197985359597,37588,4756,1161,5246,0.1123181560551672,0.1812080536912751,0.9158988056410646,0.7042162013745681
extreme_abs_151_h3,random_split,aqi_history,22,random_forest,ensemble,train,227503,29901,0.131431233873839,0.9207087379067528,0.9045855934862268,0.6449200996921273,0.8827129527440554,0.7453089923334322,0.8491771587797168,183070,14532,3507,26394,0.0735417657716015,0.1172870472559446,0.9761254415628158,0.8725454652166369
extreme_abs_151_h3,random_split,aqi_history,22,random_forest,ensemble,validation,48751,6407,0.1314229451703555,0.9097659535189022,0.8762613454205679,0.616230608937254,0.8308100515061652,0.7076105018278498,0.8271307417758287,39029,3315,1084,5323,0.0782873606650292,0.1691899484938348,0.9489159573925068,0.8101949497886717
extreme_abs_151_h3,random_split,aqi_history,22,random_forest,ensemble,test,48751,6407,0.1314229451703555,0.9081659863387418,0.8723598958382326,0.6118710874101554,0.823786483533635,0.70218851859243,0.8239507265748288,38996,3348,1129,5278,0.0790666918571698,0.1762135164663649,0.9482365845458032,0.807273376542792
extreme_abs_151_h3,random_split,aqi_pollutants,51,logistic_regression,linear,train,227503,29901,0.131431233873839,0.8840762539395085,0.8602094823261801,0.5383661751272347,0.827831845088793,0.6524334796188669,0.7914355187410316,176377,21225,5148,24753,0.1074128804364328,0.172168154911207,0.9256822894004548,0.7334348921548742
extreme_abs_151_h3,random_split,aqi_pollutants,51,logistic_regression,linear,validation,48751,6407,0.1314229451703555,0.8852946606223462,0.8638963652103189,0.5412324193058787,0.8348681130014047,0.6567219152854512,0.7939325480480844,37810,4534,1058,5349,0.107075382580767,0.1651318869985953,0.9284786455195794,0.7297151829495218
extreme_abs_151_h3,random_split,aqi_pollutants,51,logistic_regression,linear,test,48751,6407,0.1314229451703555,0.8831408586490533,0.8588813191728264,0.5359530078995342,0.8259715935695333,0.6500829187396352,0.7899704801895564,37762,4582,1115,5292,0.1082089552238805,0.1740284064304667,0.925599951327324,0.7335546626346928
extreme_abs_151_h3,random_split,aqi_pollutants,51,random_forest,ensemble,train,227503,29901,0.131431233873839,0.9362909500094504,0.9366452311761548,0.6895779500430663,0.937125848633825,0.7945162753771124,0.8784088126436893,184988,12614,1880,28021,0.0638353862815153,0.062874151366175,0.9848964599747826,0.9111649837969144
