target,model,model_family,feature_set,feature_regime,weighting_strategy,temperature,min_weight,max_weight,n_features,held_out_country,train_weight_min,train_weight_mean,train_weight_max,train_weight_std,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Japan,0.496273715726956,1.020045214093758,1.4353654841656611,0.2427892674551544,validation,45410,6407,0.1410922704250165,0.9442413565293988,0.8665149964792221,0.8317068995035096,0.758233182456688,0.7932723709993469,0.880523575409565,38020,983,1549,4858,0.0252031894982437,0.241766817543312,0.9776791271145652,0.8913612760919143
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Japan,0.496273715726956,1.020045214093758,1.4353654841656611,0.2427892674551544,test,22278,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,22278,0,0,0,0.0,0.0,,
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Mexico,0.6781236567225948,1.0006768982770065,1.356452011178466,0.1447402722191674,validation,46890,6231,0.1328854766474728,0.9469396459799532,0.8679598818895387,0.8264433978719693,0.7603915904349222,0.7920427950518222,0.8808165476188025,39664,995,1493,4738,0.0244718266558449,0.2396084095650778,0.9797118393264106,0.895559185018649
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Mexico,0.6781236567225948,1.0006768982770065,1.356452011178466,0.1447402722191674,test,12408,1178,0.0949387491940683,0.9215828497743392,0.7146665568065166,0.6168757126567845,0.4592529711375212,0.5265206812652068,0.7418860600649657,10894,336,637,541,0.0299198575244879,0.5407470288624788,0.8899505931692183,0.5559759316058446
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Nigeria,0.7140249063073758,1.0018808123511864,1.2724033628640012,0.1587461204988991,validation,47228,5817,0.1231684593884983,0.9486533412382484,0.8651445724809619,0.8150074294205052,0.7543407254598591,0.7835014730827604,0.8771870466729038,40415,996,1429,4388,0.0240515804979353,0.2456592745401409,0.9781705661981112,0.8853272131042226
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Nigeria,0.7140249063073758,1.0018808123511864,1.2724033628640012,0.1587461204988991,test,10152,3938,0.3879038613081166,0.8465327029156816,0.8342254739253407,0.8166577967003725,0.7793296089385475,0.7975571725571725,0.8369924187658959,5525,689,869,3069,0.1108786610878661,0.2206703910614525,0.911003969967061,0.8828637644213396
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Pakistan,0.6564616895101298,0.9894585317505568,2.0067963555042927,0.2775721609366178,validation,47080,5038,0.1070093457943925,0.9485556499575192,0.8427867620007358,0.7893805309734513,0.7082175466454942,0.7465997070516844,0.8589857711164429,41090,952,1470,3568,0.0226440226440226,0.2917824533545057,0.9755461650204462,0.8487179483271441
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Pakistan,0.6564616895101298,0.9894585317505568,2.0067963555042927,0.2775721609366178,test,11139,9129,0.8195529221653649,0.7496184576712451,0.7733364887687753,0.9463531399605744,0.7362252163435207,0.8281683198817078,0.6834739399970802,1629,381,2408,6721,0.1895522388059701,0.2637747836564793,0.8796651805056217,0.9690003186448932
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Philippines,0.5020295777682443,0.9974987978193354,1.2851646885083663,0.2009093333075095,validation,45748,6387,0.1396126606627612,0.9436040919821632,0.8624934494989268,0.8297245799411052,0.7499608579927979,0.787828947368421,0.8776545160357281,38378,983,1597,4790,0.0249739589949442,0.2500391420072021,0.9779060717285232,0.8924676396647747
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Philippines,0.5020295777682443,0.9974987978193354,1.2851646885083663,0.2009093333075095,test,20022,138,0.0068924183398261,0.9929078014184396,0.499899416616375,0.0,0.0,0.0,0.498220640569395,19880,4,138,0,0.00020116676725,1.0,0.903557663433421,0.0477571906696501
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Russia,0.6994997240134092,1.0082934776269452,1.2929367597736277,0.1489000889996173,validation,46975,6225,0.1325172964342735,0.9451410324640768,0.863309089117205,0.8192159607980399,0.7519678714859438,0.7841527766144568,0.8763650812874384,39717,1033,1544,4681,0.0253496932515337,0.2480321285140562,0.9780298361544336,0.887433517026818
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Russia,0.6994997240134092,1.0082934776269452,1.2929367597736277,0.1489000889996173,test,11844,1213,0.1024147247551502,0.9441067207024654,0.7552408404762534,0.8907801418439716,0.517724649629019,0.6548488008342023,0.8122199906789294,10554,77,585,628,0.007242968676512,0.482275350370981,0.9579869663631296,0.7877982961596666
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Saudi Arabia,0.5593020486674514,1.0024551216276556,1.232640655779982,0.1703586580320857,validation,47165,6387,0.135418212657691,0.944471536096682,0.8640997246578934,0.8213920163766633,0.7538750587130107,0.7861866274797943,0.8771395607398118,39731,1047,1572,4815,0.0256756093972239,0.2461249412869892,0.978181182789791,0.8896170290438103
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Saudi Arabia,0.5593020486674514,1.0024551216276556,1.232640655779982,0.1703586580320857,test,10575,134,0.0126713947990543,0.9872340425531916,0.4999521118666794,0.0,0.0,0.0,0.4967880085653104,10440,1,134,0,9.577626664112632e-05,1.0,0.5621866722321731,0.0165724002659242
