target,model,model_family,held_out_country,criterion,selected_threshold,part,validation_threshold,validation_rows,validation_events,validation_event_rate,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_macro_f1,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_alarm_rate,validation_missed_event_rate,validation_roc_auc,validation_pr_auc,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,random_forest,ensemble,Russia,f1,0.7,validation_selected,0.7,47641.0,6331.0,0.1328897378308599,0.9428223588925504,0.8819006264625032,0.7770778921493317,0.7989259200758174,0.7878504672897196,0.8774045281791991,39859.0,1451.0,1273.0,5058.0,0.0351246671508109,0.2010740799241825,0.9760049979809478,0.8785559632980694,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Russia,f1,0.7,test_calibrated,,,,,,,,,,,,,,,,,,,12012.0,1231.0,0.1024808524808524,0.954045954045954,0.8495502098458106,0.8117539026629935,0.7181153533712429,0.7620689655172413,0.86831793281391,10576.0,205.0,347.0,884.0,0.0190149336796215,0.2818846466287571,0.9621938466075686,0.8126971640008517
extreme_abs_151_h1,random_forest,ensemble,Russia,f1,0.7,test_default_threshold,,,,,,,,,,,,,,,,,,,12012.0,1231.0,0.1024808524808524,0.9393106893106892,0.8963901050159625,0.6596692111959288,0.8424045491470349,0.7399215126650018,0.8527843744466331,10246.0,535.0,194.0,1037.0,0.0496243391151099,0.157595450852965,0.9621938466075686,0.8126971640008517
extreme_abs_151_h1,random_forest,ensemble,Saudi Arabia,f1,0.68,validation_selected,0.68,47834.0,6496.0,0.1358029853242463,0.9397917799055066,0.8839416797531441,0.7630966239813737,0.8072660098522167,0.7845601436265709,0.8747831094803571,39710.0,1628.0,1252.0,5244.0,0.0393826503459286,0.1927339901477832,0.97511564074563,0.8769104740806304,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Saudi Arabia,f1,0.68,test_calibrated,,,,,,,,,,,,,,,,,,,10725.0,135.0,0.0125874125874125,0.9866666666666668,0.4996222851746931,0.0,0.0,0.0,0.4966442953020134,10582.0,8.0,135.0,0.0,0.0007554296506137,1.0,0.625861574511244,0.0249503872439305
extreme_abs_151_h1,random_forest,ensemble,Saudi Arabia,f1,0.68,test_default_threshold,,,,,,,,,,,,,,,,,,,10725.0,135.0,0.0125874125874125,0.9756643356643356,0.5159899276046584,0.0434782608695652,0.0444444444444444,0.0439560439560439,0.5158156760366706,10458.0,132.0,129.0,6.0,0.0124645892351274,0.9555555555555556,0.625861574511244,0.0249503872439305
extreme_abs_151_h1,random_forest,ensemble,South Africa,f1,0.66,validation_selected,0.66,47834.0,6507.0,0.1360329472759961,0.939018271522348,0.8883130986894142,0.7541053227633069,0.8186568311049639,0.7850563702011643,0.8747626151041146,39590.0,1737.0,1180.0,5327.0,0.0420306337261354,0.1813431688950361,0.9745445349976642,0.8753416317605549,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,South Africa,f1,0.66,test_calibrated,,,,,,,,,,,,,,,,,,,10725.0,61.0,0.0056876456876456,0.9943123543123544,0.5,0.0,0.0,0.0,0.4985740333816447,10664.0,0.0,61.0,0.0,0.0,1.0,0.9211303850552802,0.1094803634422665
extreme_abs_151_h1,random_forest,ensemble,South Africa,f1,0.66,test_default_threshold,,,,,,,,,,,,,,,,,,,10725.0,61.0,0.0056876456876456,0.993939393939394,0.5079622877030733,0.1666666666666666,0.0163934426229508,0.0298507462686567,0.5134054741491533,10659.0,5.0,60.0,1.0,0.0004688672168042,0.9836065573770492,0.9211303850552802,0.1094803634422665
extreme_abs_151_h1,random_forest,ensemble,South Korea,f1,0.69,validation_selected,0.69,47555.0,6497.0,0.1366207549153611,0.940090421617075,0.8819971957965469,0.7692648361381754,0.8020624903801755,0.7853213774395298,0.8752545620564381,39495.0,1563.0,1286.0,5211.0,0.0380680987870816,0.1979375096198245,0.9739807480774428,0.8740130898743914,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,South Korea,f1,0.69,test_calibrated,,,,,,,,,,,,,,,,,,,12584.0,130.0,0.0103305785123966,0.9896694214876032,0.5,0.0,0.0,0.0,0.4974039460020768,12454.0,0.0,130.0,0.0,0.0,1.0,0.8883830959469309,0.1131013934459502
extreme_abs_151_h1,random_forest,ensemble,South Korea,f1,0.69,test_default_threshold,,,,,,,,,,,,,,,,,,,12584.0,130.0,0.0103305785123966,0.9872059758423396,0.5444274931748836,0.2181818181818181,0.0923076923076923,0.1297297297297297,0.5616426737749237,12411.0,43.0,118.0,12.0,0.0034527059579251,0.9076923076923076,0.8883830959469309,0.1131013934459502
extreme_abs_151_h1,random_forest,ensemble,Thailand,f1,0.7,validation_selected,0.7,47963.0,6508.0,0.1356879261097095,0.9410795821779288,0.8796448737706788,0.7760119940029985,0.7953288260602336,0.7855516770374867,0.8756998971062622,39961.0,1494.0,1332.0,5176.0,0.0360390785188758,0.2046711739397664,0.9747208616329036,0.876785796350837,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Thailand,f1,0.7,test_calibrated,,,,,,,,,,,,,,,,,,,9867.0,51.0,0.005168744299179,0.9937164284990372,0.4994396903015485,0.0,0.0,0.0,0.4984241561610411,9805.0,11.0,51.0,0.0,0.001120619396903,1.0,0.950490995094044,0.050709321420856
