dataset,target,model,configuration,evaluations,countries,rows,mean_event_rate,mean_pr_auc,mean_f1,mean_recall,mean_precision,mean_false_alarm_rate
openaq,PM25_p95_rel_p90_h1,logistic_regression,Country-class balanced,8,8,168,0.1327978734228734,0.2469409565089871,0.2065602836879432,0.3541666666666666,0.1695675105485232,0.443006993006993
openaq,PM25_p95_rel_p90_h1,logistic_regression,Local features,8,8,168,0.1327978734228734,0.2226586480395705,0.1152777777777777,0.2291666666666666,0.1567460317460317,0.2809003496503496
openaq,PM25_p95_rel_p90_h1,random_forest,Base,8,8,168,0.1327978734228734,0.3139172321150539,0.1898809523809523,0.2166666666666666,0.1840277777777778,0.2193400349650349
openaq,PM25_p95_rel_p90_h1,random_forest,Country-class balanced,8,8,168,0.1327978734228734,0.289893126612857,0.1647393770887746,0.3791666666666666,0.1079248366013072,0.5446314102564103
openaq,PM25_p95_rel_p90_h1,random_forest,Local features,8,8,168,0.1327978734228734,0.324601123994293,0.2242063492063492,0.3166666666666666,0.221875,0.1859629953379953
openaq,PM25_p95_rel_p90_h1,xgboost,Base,8,8,168,0.1327978734228734,0.2550657014942729,0.0,0.0,0.0,0.0
openaq,PM25_p95_rel_p90_h1,xgboost,Country-class balanced,8,8,168,0.1327978734228734,0.2342799839438494,0.0902777777777777,0.1041666666666666,0.0833333333333333,0.1736378205128205
openaq,PM25_p95_rel_p90_h1,xgboost,Local features,8,8,168,0.1327978734228734,0.2255873755873756,0.0,0.0,0.0,0.0
openaq,PM25_p95_rel_p90_h3,logistic_regression,Base,6,6,140,0.1595216199646579,0.2813569272418532,0.1916666666666666,0.2261904761904762,0.1709401709401709,0.2729093346740405
openaq,PM25_p95_rel_p90_h3,logistic_regression,Country-class balanced,6,6,140,0.1595216199646579,0.39673723859202,0.2446727549467275,0.3392857142857142,0.2144067796610169,0.2574995810289928
openaq,PM25_p95_rel_p90_h3,logistic_regression,Local features,6,6,140,0.1595216199646579,0.3474926124785091,0.1738095238095238,0.1904761904761904,0.1626984126984127,0.2263029998324116
openaq,PM25_p95_rel_p90_h3,random_forest,Base,6,6,140,0.1595216199646579,0.296661976376262,0.1402831402831403,0.1428571428571428,0.1473429951690821,0.2565024300318417
openaq,PM25_p95_rel_p90_h3,random_forest,Country-class balanced,6,6,140,0.1595216199646579,0.3010331865703729,0.1299348799348799,0.3511904761904762,0.0900670794633642,0.6914781297134237
openaq,PM25_p95_rel_p90_h3,random_forest,Local features,6,6,140,0.1595216199646579,0.2966090612972753,0.0805555555555555,0.0535714285714285,0.1833333333333333,0.2204625439919557
openaq,PM25_p95_rel_p90_h3,xgboost,Base,6,6,140,0.1595216199646579,0.1914259439575895,0.0,0.0,0.0,0.0
openaq,PM25_p95_rel_p90_h3,xgboost,Country-class balanced,6,6,140,0.1595216199646579,0.336871609403255,0.0476190476190476,0.0416666666666666,0.0555555555555555,0.1821350762527233
openaq,PM25_p95_rel_p90_h3,xgboost,Local features,6,6,140,0.1595216199646579,0.1914259439575895,0.0,0.0,0.0,0.0
waqd2024,PM10_p95_rel_p90_h1,logistic_regression,Base,14,14,227,0.1749407999407999,0.3298234416937601,0.2323717948717948,0.3242424242424242,0.2199175824175824,0.3175500167660446
waqd2024,PM10_p95_rel_p90_h1,logistic_regression,Country-class balanced,14,14,227,0.1749407999407999,0.2698232051074148,0.1439393939393939,0.2188311688311688,0.1357142857142857,0.3430079067274189
waqd2024,PM10_p95_rel_p90_h1,logistic_regression,Local features,14,14,227,0.1749407999407999,0.2967182257165379,0.1886054421768707,0.2945887445887445,0.2205128205128204,0.302518315018315
waqd2024,PM10_p95_rel_p90_h1,random_forest,Base,14,14,227,0.1749407999407999,0.4455702296241169,0.2156882591093117,0.3874458874458874,0.2276785714285714,0.2266244208752919
waqd2024,PM10_p95_rel_p90_h1,random_forest,Country-class balanced,14,14,227,0.1749407999407999,0.4399536742578375,0.2967772108843537,0.5465367965367965,0.2605905998763141,0.314785852939163
waqd2024,PM10_p95_rel_p90_h1,random_forest,Local features,14,14,227,0.1749407999407999,0.399018313226201,0.2076276664511958,0.3517316017316017,0.2236394557823129,0.2091924480861763
waqd2024,PM10_p95_rel_p90_h1,xgboost,Base,14,14,227,0.1749407999407999,0.4180359841104321,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0502115480338476
