scenario,dataset,target,model,model_family,feature_regime,weighting_strategy,evaluations,countries,rows,events,mean_event_rate,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,mean_f1,mean_macro_f1,mean_false_alarm_rate,mean_missed_event_rate,mean_roc_auc,mean_pr_auc,pooled_event_rate
all_eligible,waqd2024,PM10_p95_rel_p90_h3,xgboost,boosting,local,country_class_balanced,9,9,174,29,0.15545652604476132,0.6838729172062505,0.5944439350408541,0.10294396961063627,0.2611111111111111,0.13978232618583497,0.5178821021658315,0.24506274720224225,0.5166666666666667,0.6095648528987975,0.41315946394117364,0.16666666666666666
all_eligible,waqd2024,PM10_p95_rel_p90_h3,xgboost,boosting,local,none,9,9,174,29,0.15545652604476132,0.8075064369182017,0.5740740740740741,0.0,0.0,0.0,0.5004371109783382,0.037037037037037035,0.7777777777777778,0.6569698054660461,0.4646943625935223,0.16666666666666666
all_eligible,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,base,none,11,11,217,34,0.14500200534889526,0.6557663237288437,0.5176308539944904,0.15687935253152643,0.1621212121212121,0.1325358851674641,0.44840395229434926,0.28388429752066113,0.6560606060606061,0.45100542461653575,0.29132405905620656,0.15668202764976957
all_eligible,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,11,11,217,34,0.14500200534889526,0.5741033547054281,0.5566000918273646,0.12318111181747544,0.38333333333333336,0.17046657046657046,0.429105964194225,0.4023645546372819,0.4348484848484848,0.42698279087167973,0.243060141426231,0.15668202764976957
all_eligible,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,none,11,11,217,34,0.14500200534889526,0.6188823876224195,0.548645546372819,0.21038961038961038,0.3090909090909091,0.1592056932966024,0.4344927614940168,0.3522956841138659,0.509090909090909,0.4331743359521137,0.25016140661861247,0.15668202764976957
all_eligible,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,base,none,11,11,217,34,0.14500200534889526,0.7653173182479402,0.5905647382920111,0.18939393939393942,0.1803030303030303,0.16253191253191251,0.5518647504587124,0.156198347107438,0.6378787878787878,0.5054573512906847,0.2853179291482708,0.15668202764976957
all_eligible,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,11,11,217,34,0.14500200534889526,0.5820886538589888,0.5937327823691461,0.13147073885710248,0.4666666666666666,0.1874347377146929,0.39873888458233897,0.427961432506887,0.3515151515151515,0.45690703329592214,0.24832201407993493,0.15668202764976957
all_eligible,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,none,11,11,217,34,0.14500200534889526,0.7689158005146841,0.5697199265381084,0.1590909090909091,0.10757575757575756,0.11739980449657868,0.5324419481391517,0.13342516069788798,0.7106060606060606,0.4917929292929293,0.29967277532035264,0.15668202764976957
all_eligible,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,base,none,11,11,217,34,0.14500200534889526,0.8502133056558894,0.5883838383838383,0.0,0.0,0.0,0.5489137162925771,0.005050505050505045,0.8181818181818182,0.4458380097268986,0.21586232697343802,0.15668202764976957
all_eligible,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,11,11,217,34,0.14500200534889526,0.7407203007282752,0.5686524334251607,0.10113636363636364,0.1424242424242424,0.11769771447190801,0.5198947042885013,0.17867309458218547,0.6757575757575757,0.43282828282828284,0.258963065980287,0.15668202764976957
all_eligible,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,none,11,11,217,34,0.14500200534889526,0.8454286166606741,0.5858585858585859,0.0,0.0,0.0,0.5475428649217258,0.0101010101010101,0.8181818181818182,0.5188552188552189,0.29419158516380733,0.15668202764976957
all_eligible,waqd2024,PM25_p95_rel_p90_h3,logistic_regression,linear,base,none,10,10,194,36,0.19138331470796102,0.6424122482341023,0.5309844322344321,0.3253968253968254,0.36666666666666664,0.3056055056055056,0.5237003565116319,0.3046978021978022,0.6333333333333333,0.4962026862026862,0.3791612886850774,0.18556701030927836
all_eligible,waqd2024,PM25_p95_rel_p90_h3,logistic_regression,linear,local,country_class_balanced,10,10,194,36,0.19138331470796102,0.6110160424708079,0.48009920634920633,0.25761904761904764,0.26666666666666666,0.20936507936507934,0.46321118012422363,0.30646825396825395,0.7333333333333333,0.4679853479853479,0.3761653898366999,0.18556701030927836
all_eligible,waqd2024,PM25_p95_rel_p90_h3,logistic_regression,linear,local,none,10,10,194,36,0.19138331470796102,0.5981636579272469,0.4844940476190476,0.2922222222222222,0.30833333333333335,0.25648351648351647,0.47651761336358855,0.3393452380952381,0.6916666666666667,0.513191391941392,0.3903245818920102,0.18556701030927836
all_eligible,waqd2024,PM25_p95_rel_p90_h3,random_forest,ensemble,base,none,10,10,194,36,0.19138331470796102,0.5622709863355805,0.466304945054945,0.1933627752176139,0.31785714285714284,0.17698135198135198,0.41153596490270095,0.38524725274725274,0.6821428571428572,0.570915750915751,0.3910705168211863,0.18556701030927836
all_eligible,waqd2024,PM25_p95_rel_p90_h3,random_forest,ensemble,local,country_class_balanced,10,10,194,36,0.19138331470796102,0.6663513267571346,0.4971291208791209,0.23095238095238094,0.23928571428571427,0.18474969474969474,0.4735956045463685,0.2450274725274725,0.7607142857142857,0.5792384004884006,0.3842412442235774,0.18556701030927836
