Country_Code,Country,Date,CO_cities_count,NO2_cities_count,O3_cities_count,PM10_cities_count,PM25_cities_count,SO2_cities_count,CO_locations_count,NO2_locations_count,O3_locations_count,PM10_locations_count,PM25_locations_count,SO2_locations_count,CO_sources_count,NO2_sources_count,O3_sources_count,PM10_sources_count,PM25_sources_count,SO2_sources_count,CO_units_count,NO2_units_count,O3_units_count,PM10_units_count,PM25_units_count,SO2_units_count,CO_value_count,NO2_value_count,O3_value_count,PM10_value_count,PM25_value_count,SO2_value_count,CO_value_max,NO2_value_max,O3_value_max,PM10_value_max,PM25_value_max,SO2_value_max,CO_value_mean,NO2_value_mean,O3_value_mean,PM10_value_mean,PM25_value_mean,SO2_value_mean,CO_value_median,NO2_value_median,O3_value_median,PM10_value_median,PM25_value_median,SO2_value_median,CO_value_p90,NO2_value_p90,O3_value_p90,PM10_value_p90,PM25_value_p90,SO2_value_p90,CO_value_p95,NO2_value_p95,O3_value_p95,PM10_value_p95,PM25_value_p95,SO2_value_p95,CO_value_std,NO2_value_std,O3_value_std,PM10_value_std,PM25_value_std,SO2_value_std,total_records,observed_pollutants,total_locations,total_cities,total_sources
AU,Australia,2022-08-01,,,,0.0,0.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,7.0,1.0,,,,,7.0,1.0,,,,,7.0,1.0,,,,,7.0,1.0,,,,,7.0,1.0,,,,,,,,2,2,2,0,2
AU,Australia,2022-09-01,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,5.9,,,,,,5.9,,,,,,5.9,,,,,,5.9,,,,,,5.9,,,,,,,,1,1,1,1,1
AU,Australia,2022-10-01,1.0,3.0,2.0,6.0,5.0,2.0,2.0,4.0,3.0,7.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,7.0,5.0,3.0,0.0,0.0139999999999999,0.033,121.63,6.42,0.001,0.0,0.004249999999999975,0.03166666666666667,28.698571428571427,3.1439999999999997,0.0003333333333333333,0.0,0.0015,0.031,11.7,4.5,0.0,0.0,0.010699999999999932,0.032600000000000004,67.31200000000004,5.772,0.0008,0.0,0.012349999999999911,0.0328,94.47099999999993,6.096,0.0009,0.0,0.006652067347824987,0.0011547005383792516,42.26787686039736,2.9615333866090383,0.0005773502691896258,24,6,24,19,10
AU,Australia,2022-11-01,6.0,10.0,11.0,12.0,12.0,7.0,11.0,25.0,27.0,29.0,29.0,17.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,25.0,27.0,29.0,29.0,17.0,0.1,0.005,0.022,27.5,33.1,0.013,0.05454545454545456,0.00096,0.018296296296296297,10.613793103448277,4.003448275862069,0.0008235294117647058,0.1,0.001,0.019,9.2,3.0,0.0,0.1,0.0026000000000000016,0.02,18.959999999999997,6.1,0.00040000000000000034,0.1,0.003,0.0207,22.279999999999998,6.819999999999997,0.0033999999999999916,0.05222329678670935,0.001274100990241093,0.0020346009779809745,5.615331318168846,5.95581844913147,0.00314712754185557,138,6,138,58,7
AU,Australia,2023-03-01,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,0.06,0.012,,,8.96,,0.06,0.012,,,8.96,,0.06,0.012,,,8.96,,0.06,0.012,,,8.96,,0.06,0.012,,,8.96,,,,,,,,3,3,3,3,3
AU,Australia,2023-04-01,3.0,4.0,6.0,8.0,15.0,5.0,5.0,6.0,9.0,15.0,26.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,9.0,15.0,26.0,7.0,0.19,0.022,0.026,61.78,44.87,0.002,0.13799999999999998,0.013666666666666667,0.012378888888888889,21.050666666666665,12.332307692307692,0.0006614285714285715,0.15,0.015,0.011,20.6,10.024999999999999,0.00055,0.186,0.0195,0.0228,24.56,19.695,0.0013700000000000006,0.188,0.020749999999999998,0.024399999999999998,35.72599999999996,30.372500000000002,0.0016849999999999992,0.05357238094391549,0.006186005711819758,0.008703706745468342,12.154322256868523,9.08825541352896,0.0006790539637718682,68,6,68,41,6
AU,Australia,2023-05-01,1.0,6.0,5.0,8.0,5.0,2.0,1.0,6.0,5.0,10.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,10.0,6.0,2.0,0.37,0.031,0.033,27.0,10.4,0.001,0.37,0.010666666666666666,0.0264,14.219999999999999,5.733333333333333,0.0005,0.37,0.0065,0.024,13.35,5.65,0.0005,0.37,0.0235,0.032600000000000004,19.799999999999997,8.2,0.0009000000000000001,0.37,0.02725,0.0328,23.39999999999999,9.3,0.00095,,0.011325487480310356,0.0059413803110051795,5.997925567320014,2.724457132470002,0.0007071067811865475,30,6,30,27,6
AU,Australia,2023-06-01,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,0.015,27.7,5.8,,,,0.015,27.7,5.8,,,,0.015,27.7,5.8,,,,0.015,27.7,5.8,,,,0.015,27.7,5.8,,,,,,,,3,3,3,3,3
AU,Australia,2023-08-01,1.0,1.0,3.0,12.0,12.0,,3.0,2.0,14.0,74.0,69.0,,1.0,1.0,2.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,,3.0,2.0,14.0,74.0,69.0,,0.89,0.001,0.028,31.5,15.0,,0.34,0.0005,0.012714285714285714,10.553108108108107,4.058405797101448,,0.13,0.0005,0.01,9.15,3.7,,0.738,0.0009000000000000001,0.0257,21.330000000000002,7.476,,0.814,0.00095,0.026699999999999998,22.705,9.015999999999993,,0.4807286136688766,0.0007071067811865475,0.009084463249277445,7.498878258702262,2.897511926173703,,162,5,162,29,10
AT,Austria,2016-12-01,0.0,0.0,1.0,0.0,,1.0,17.0,86.0,61.0,70.0,,38.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,17.0,86.0,61.0,70.0,,38.0,1037.0,108.0,81.0,64.0,,8.0,449.6470588235294,34.68604651162791,39.31147540983606,20.0,,2.5,237.0,23.0,41.0,11.0,,2.5,983.6,77.0,70.0,51.2,,4.300000000000004,1003.4,83.0,78.0,54.55,,5.0,344.92951112808373,26.33506346518759,22.106967969101625,17.266034345760623,,1.720307954832349,272,5,272,2,5
AT,Austria,2017-02-01,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,1,1,1,0,1
AT,Austria,2017-03-01,0.0,,,0.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,2,2,2,0,2
AT,Austria,2017-05-01,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,1,1,1,0,1
AT,Austria,2017-07-01,,2.0,1.0,1.0,,3.0,,9.0,5.0,7.0,,6.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,9.0,5.0,7.0,,6.0,,38.62825775,134.48,30.0,,4.51885604,,8.138085522222221,61.71419999999999,12.830454687142858,,1.9014760016666665,,5.14998817,84.606,11.61318397,,1.61000001,,20.423257446000004,116.482,26.250000000000004,,3.75942802,,29.52575759799999,125.48099999999998,28.124999999999996,,4.13914203,,12.587110299989904,59.59739602700775,11.773446324802855,,1.6530997539506782,27,4,27,7,4
AT,Austria,2020-12-01,,0.0,1.0,0.0,,0.0,,2.0,2.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,2.0,2.0,2.0,,1.0,,35.09052276,35.02,34.5,,6.0,,21.561070434999998,20.5365,27.25,,6.0,,21.561070434999998,20.5365,27.25,,6.0,,32.384632295,32.1233,33.05,,6.0,,33.7375775275,33.571650000000005,33.775,,6.0,,19.133534969495205,20.482762130630725,10.253048327204938,,,7,4,7,1,4
